"Geographical Location","Report Date","MDS Item Question/Description","MDS Item Response",Percent,"Total Residents"
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,74.4,1715
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.04,24
"North Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,23.73,547
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.27,21623
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.33,94
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.13,36
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.22,62
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.23,65
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.34,99
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.25,360
Ohio,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,22.24,6389
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.05,6249
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.28,23
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.17,14
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.29,24
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.29,24
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.86,71
Oklahoma,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.99,1807
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,81.77,2108
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.54,14
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.93,24
Oregon,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,16.06,414
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.66,27199
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.27,96
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.17,61
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.21,76
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.31,110
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.38,134
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.05,373
Pennsylvania,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,20.94,7430
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
"Puerto Rico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,73.71,2534
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.73,25
"Rhode Island","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,24.64,847
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.1,6341
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.3,24
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.15,12
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.25,20
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.29,23
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.44,35
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.17,94
"South Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.3,1467
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.67,1885
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.76,19
"South Dakota","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,22.84,569
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.73,8653
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.31,34
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.13,14
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.22,25
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.31,34
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.36,40
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.04,116
Tennessee,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,19.91,2216
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,82.13,34470
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.27,112
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.2,83
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.25,104
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.37,154
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.42,175
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.78,327
Texas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,15.59,6543
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,78.68,1790
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.53,12
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.53,12
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
Utah,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,19.25,438
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,74.95,817
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.01,11
Vermont,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,22.57,246
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
"Virgin Islands","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,*,*
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.99,10755
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.25,34
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.15,20
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.17,23
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.25,34
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.43,58
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.03,138
Virginia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,17.72,2383
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.9,4189
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.25,13
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.25,13
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.05,55
Washington,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.12,950
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,78.39,3896
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.3,15
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.26,13
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.25,62
"West Virginia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,19.46,967
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,81.25,6210
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.14,11
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.16,12
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.27,21
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.34,26
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.01,77
Wisconsin,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,16.7,1276
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.73,752
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
Wyoming,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.73,213
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.38,453306
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.3,1748
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.16,919
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.23,1362
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.32,1858
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.43,2507
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.11,6493
"National Total","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,20.07,117590
Alabama,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,74.63,15700
Alabama,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,25.37,5338
Alaska,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,83.99,619
Alaska,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,16.01,118
Arizona,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,81.88,8791
Arizona,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,18.12,1945
Arkansas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.85,13296
Arkansas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.15,2752
California,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.17,77207
California,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.83,20308
Colorado,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77.13,11117
Colorado,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,22.87,3297
Connecticut,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,76.16,14425
Connecticut,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23.84,4516
Delaware,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,85.34,3254
Delaware,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,14.66,559
"District of Columbia","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,86.09,1715
"District of Columbia","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,13.91,277
Florida,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,86,61888
Florida,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,14,10071
Georgia,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,76.45,23315
Georgia,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23.55,7183
Hawaii,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,86.48,2777
Hawaii,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,13.52,434
Idaho,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,78.94,3269
Idaho,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,21.06,872
Illinois,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,71.33,42767
Illinois,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,28.67,17188
Indiana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.31,28363
Indiana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.69,6095
Iowa,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,78.08,15375
Iowa,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,21.92,4317
Kansas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77,11256
Kansas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23,3362
Kentucky,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,80.06,16438
Kentucky,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,19.94,4093
Louisiana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,73.61,17083
Louisiana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,26.39,6123
Maine,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77.71,3806
Maine,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,22.29,1092
Maryland,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.52,18420
Maryland,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.48,3901
Massachusetts,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,75.46,24099
Massachusetts,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,24.54,7838
Michigan,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.1,26404
Michigan,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.9,6978
Minnesota,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.78,15330
Minnesota,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.22,3885
Mississippi,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,74.25,10764
Mississippi,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,25.75,3732
Missouri,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,70.75,24044
Missouri,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,29.25,9942
Montana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,76.6,2403
Montana,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23.4,734
Nebraska,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77.11,7380
Nebraska,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,22.89,2191
Nevada,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.4,4563
Nevada,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.6,1184
"New Hampshire","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77.84,4486
"New Hampshire","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,22.16,1277
"New Jersey","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,80.46,31572
"New Jersey","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,19.54,7666
"New Mexico","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,83.14,4375
"New Mexico","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,16.86,887
"New York","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.23,79038
"New York","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.77,17084
"North Carolina","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.65,28035
"North Carolina","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.35,5885
"North Dakota","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,77.14,3438
"North Dakota","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,22.86,1019
Ohio,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,80.32,51994
Ohio,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,19.68,12740
Oklahoma,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,78.38,12845
Oklahoma,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,21.62,3544
Oregon,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,83.17,5281
Oregon,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,16.83,1069
Pennsylvania,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,78.01,50874
Pennsylvania,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,21.99,14344
"Puerto Rico","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,85.29,29
"Puerto Rico","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,*,*
"Rhode Island","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,74.94,5010
"Rhode Island","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,25.06,1675
"South Carolina","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,80.63,12839
"South Carolina","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,19.37,3084
"South Dakota","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,75.01,3620
"South Dakota","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,24.99,1206
